model, data, config_name, application_name, search, restart, round, rounds, limit_s, duration_s, obj, init_time_s, solve_time_s, solutions, variables, propagators, propagations, nodes, failures, restarts, peak_depth, num_solutions
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   1,  10,    30,    31, 4367,    0,  30.00, 1162, 2451, 2891, 23127638,   142762,    15112, 1164,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   2,  10,    30,    31, 4238,    0,  30.00, 1261, 2451, 2891, 25069098,   155120,    16559, 1263,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   3,  10,    30,    30, 4317,    0,  30.00, 1204, 2451, 2891, 23950387,   148128,    15797, 1206,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   4,  10,    30,    31, 4333,    0,  30.00, 1190, 2451, 2891, 23683198,   146385,    15570, 1192,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   5,  10,    30,    31, 4339,    0,  30.00, 1186, 2451, 2891, 23599424,   145851,    15503, 1188,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   6,  10,    30,    31, 4340,    0,  30.00, 1185, 2451, 2891, 23581428,   145716,    15480, 1187,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   7,  10,    30,    31, 4351,    0,  30.00, 1175, 2451, 2891, 23378632,   144330,    15274, 1177,  141,  1
"prepare_modded",      "prepare2", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,     0,   22,    0,   0.00,    1,   86,   94,      620,       17,        7,    0,    7,  1
"prepare_modded",      "prepare2", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,     0,   22,    0,   0.00,    1,   86,   94,      737,       39,        9,    0,   34,  1
"prepare_modded",      "prepare3", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,     0,   19,    0,   0.00,    2,   86,   92,      870,       21,        7,    0,   10,  1
"prepare_modded",      "prepare3", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,     0,   19,    0,   0.00,    2,   86,   92,      907,       55,       11,    0,   45,  1
"prepare_modded",      "prepare4", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,     1,   31,    0,   0.76,    2,  139,  154,   352142,     6689,     3341,    0,   11,  1
"prepare_modded",      "prepare4", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,     1,   31,    0,   0.32,    2,  139,  154,   168496,     2987,     1471,    0,   55,  1
"prepare_modded",      "prepare5", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,     5,   39,    0,   4.65,    7,  227,  259,  3739685,    68075,    34026,    0,   26,  1
"prepare_modded",      "prepare5", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,     3,   39,    0,   3.56,    7,  227,  259,  2757816,    57364,    28640,    0,   63,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   8,  10,    30,    30, 4323,    0,  30.00, 1198, 2451, 2891, 23845077,   147517,    15745, 1200,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",   9,  10,    30,    30, 4418,    0,  30.00, 1134, 2451, 2891, 22555920,   139281,    14756, 1136,  141,  1
"prepare_modded",     "prepare14", "config_searching_on_s_randomly", "application_2", "int_search(s, input_order, indomain_random)", "restart_luby(200)",  10,  10,    30,    31, 4337,    0,  30.00, 1188, 2451, 2891, 23638589,   146088,    15531, 1190,  141,  1
"prepare_modded",      "prepare6", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    31,   38,    0,  30.00,    3,  394,  453, 24739488,   309901,   154938,    0,   33,  1
"prepare_modded",      "prepare6", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    30,   38,    0,  30.00,    3,  394,  453, 25593243,   325940,   162920,    0,  101,  1
"prepare_modded",      "prepare7", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    30,   55,    0,  30.00,   10,  523,  607, 26660585,   300229,   150051,    0,   36,  1
"prepare_modded",      "prepare7", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    30,   55,    0,  30.00,   10,  523,  607, 23433935,   398322,   198948,    0,  252,  1
"prepare_modded",      "prepare8", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    30,  694,    0,  30.00,   14, 1226, 1441, 13539590,   317118,   158444,    0,   63,  1
"prepare_modded",      "prepare8", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    31,  694,    0,  30.00,   14, 1226, 1441, 14288204,   316639,   157532,    0,  540,  1
"prepare_modded",      "prepare9", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    31,  804,    0,  30.00,    2, 1226, 1441, 17485592,   258512,   129228,    0,   50,  1
"prepare_modded",      "prepare9", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    30,  799,    0,  30.00,    3, 1226, 1441, 16907686,   278700,   139031,    0,  545,  1
